fichier,angle1,pvalue1,angle2,pvalue2,pvalue_correlation,S,intrication,viole CHSH
dataset-00.csv,-1.0,-1.0,-1.0,-1.0,0.0,0.3949579831932773,False,False
dataset-01.csv,-1.0,-1.0,-1.0,-1.0,0.0,1.8244631185807656,False,False
dataset-02.csv,99.7,0.6720217674732005,99.4,0.7051011587212,0.0,1.812262808349146,False,False
dataset-03.csv,120.0,0.9047188725082034,119.8,0.9071286152175404,0.0,1.999372183372184,False,False
dataset-04.csv,169.70000000000002,0.5393771648229273,169.70000000000002,0.8941924720524834,1.0,2.065934065934066,False,False
dataset-05.csv,-1.0,-1.0,-1.0,-1.0,0.0,2.0,False,False
dataset-06.csv,-1.0,-1.0,-1.0,-1.0,0.2995328871944303,2.7431976594584606,True,False
dataset-07.csv,80.2,0.5865836643841436,79.60000000000001,0.3439215498874699,0.0,1.1730230553759966,False,False
dataset-08.csv,-1.0,-1.0,-1.0,-1.0,0.0,0.030050505050505,False,False
dataset-09.csv,60.0,0.558376575728743,59.7,0.5142329189001986,0.0,1.988558352402746,False,False
