fichier,angle1,pvalue1,angle2,pvalue2,pvalue_correlation,S,intrication,viole CHSH
dataset-00.csv,-1,-1,-1,-1,4.5208403442414656e-11,2.870987528375747,True,True
dataset-01.csv,-1,-1,-1,-1,1.3229132697342875e-11,2.9057892048957736,True,True
dataset-02.csv,-1,-1,-1,-1,0.4091679060496733,2.9696969696969697,True,True
dataset-03.csv,-1,-1,-1,-1,1.8531077487882958e-12,2.9521441385715623,True,True
dataset-04.csv,-1,-1,-1,-1,1.0,2.623015873015873,True,False
dataset-05.csv,-1,-1,-1,-1,3.211091779488607e-09,2.7978320727727466,True,True
dataset-06.csv,-1,-1,-1,-1,0.5434447862499027,2.408387948480828,True,False
dataset-07.csv,-1,-1,-1,-1,9.496128780291675e-10,2.8305050264338427,True,True
dataset-08.csv,-1,-1,-1,-1,0.0285713928924303,2.743404297825029,True,False
dataset-09.csv,-1,-1,-1,-1,0.0,0.0638074520979869,False,False
