fichier,angle1,pvalue1,angle2,pvalue2,pvalue_correlation,S,intrication,viole CHSH
dataset-00.csv,124.8,0.7705026198790307,125.0,0.8499016407180835,1.0,2.180952380952381,False,False
dataset-01.csv,-1.0,-1.0,-1.0,-1.0,0.0449499427217789,2.7363377498414,True,False
dataset-02.csv,99.9,0.990621842943374,119.6,0.3291252687364789,0.0,1.9775468570699988,False,False
dataset-03.csv,-1.0,-1.0,-1.0,-1.0,0.0,0.385110583330828,False,False
dataset-04.csv,90.0,0.6406462224041891,74.7,0.4699110112516741,1.0,2.0928792569659445,False,False
dataset-05.csv,-1.0,-1.0,-1.0,-1.0,0.0019757393021194,2.981212013683945,True,True
dataset-06.csv,-1.0,-1.0,-1.0,-1.0,0.2003621466697463,2.770550870740624,True,False
dataset-07.csv,170.0,0.6537079250439555,169.4,0.8377598452188204,0.0,1.9149388623072832,False,False
dataset-08.csv,-1.0,-1.0,-1.0,-1.0,0.0,0.0024555922593747,False,False
dataset-09.csv,-1.0,-1.0,-1.0,-1.0,6.419225226286488e-09,2.794276209135345,True,True
