fichier,angle1,pvalue1,angle2,pvalue2,pvalue_correlation,S,intrication,viole CHSH
dataset-00.csv,40.0,0.590678864943446,90.0,0.5508275016443752,0.0,0.4903225806451613,False,False
dataset-01.csv,140.0,0.6238080920961558,139.6,0.0518086163318763,0.0,1.9088895617087,False,False
dataset-02.csv,-1.0,-1.0,-1.0,-1.0,0.0986193596124102,2.652796285805544,True,False
dataset-03.csv,105.1,0.911932390416602,104.9,0.6403157426665289,0.0,1.6726403823178018,False,False
dataset-04.csv,-1.0,-1.0,-1.0,-1.0,7.8944584798739305e-19,2.8547645662176726,True,True
dataset-05.csv,120.1,0.8750819311009115,119.6,0.8657507787251437,0.0,1.70265718473647,False,False
dataset-06.csv,-1.0,-1.0,114.6,0.9501278546791166,0.0,0.0123661375929978,False,False
dataset-07.csv,170.4,0.8685669031214236,159.70000000000002,0.7047266752090688,0.0,0.8857142857142857,False,False
dataset-08.csv,0.3,0.9478476287850914,179.10000000000002,0.5486951781740722,0.0,1.8259971396790085,False,False
dataset-09.csv,-1.0,-1.0,-1.0,-1.0,0.39994981136739144,2.4838577389556997,True,False
