fichier,angle1,pvalue1,angle2,pvalue2,pvalue_correlation,S,intrication,viole CHSH
dataset-00.csv,-1.0,-1.0,-1.0,-1.0,0.0,0.0355171144644828,False,False
dataset-01.csv,-1.0,-1.0,-1.0,-1.0,0.079794310473889,2.6665868031994737,True,False
dataset-02.csv,-1.0,-1.0,-1.0,-1.0,0.0,0.0729548449860189,False,False
dataset-03.csv,-1.0,-1.0,-1.0,-1.0,0.0201706174836131,2.8103504968383017,True,True
dataset-04.csv,-1.0,-1.0,-1.0,-1.0,0.0,0.3009364002011061,False,False
dataset-05.csv,-1.0,-1.0,-1.0,-1.0,0.0,0.4492280719605211,False,False
dataset-06.csv,100.1,0.9921449852238036,99.7,0.2516754658364157,0.0,1.705046197583511,False,False
dataset-07.csv,-1.0,-1.0,-1.0,-1.0,0.0,0.1259176330075946,False,False
dataset-08.csv,-1.0,-1.0,-1.0,-1.0,0.7784664586101803,2.747767662008417,True,False
dataset-09.csv,-1.0,-1.0,-1.0,-1.0,0.06411011244794612,2.6689684180871645,True,False
