alpha;X;Y
106.67708250573779;0;1
76.1006263057759;1;0
163.28110277804186;0;1
161.25608876592105;1;1
56.059085880581236;1;0
79.58092347821726;1;1
98.08418208114051;0;1
156.1015850348145;1;0
53.44380897865416;1;1
111.40440886976148;1;0
131.45102997973288;1;1
169.28990126016646;0;1
148.68233863211594;0;1
94.89070246755081;1;0
77.42787007876828;1;1
174.55533287646924;0;1
87.5645085851548;0;1
174.96496947913585;1;0
74.61547456443316;1;0
96.00255820310544;0;1
131.6006789493569;0;1
178.02148328234344;1;1
179.71931391326615;0;1
32.474239505600025;0;1
107.82414457803186;1;1
11.931495975321498;1;1
75.06781089962776;1;1
39.02797654415538;0;1
173.19627878615933;1;0
142.26867488352008;1;0
104.82857394577277;0;1
161.68627607515685;1;1
90.34912318933063;0;1
62.469546641017665;0;1
125.96017536739056;1;0
119.42720393855414;1;1
24.97127471941488;1;1
53.11352169893866;1;1
159.39537415624795;1;1
61.19370684682472;0;1
7.827312756513525;0;1
31.238168344492138;1;0
42.988285068861;0;1
127.33932464570618;1;0
68.19187869509555;0;1
94.5473707166891;1;1
71.4864142134421;1;1
78.49880022988432;1;0
73.3382158226728;0;1
81.21960039199911;1;1
0.6513402337182672;1;0
107.62100665765377;1;0
14.519411634159432;1;0
76.79315657223535;1;1
124.69077264049952;1;1
18.581595769264545;0;1
68.64216181404595;1;0
108.8862194648958;1;0
88.75077136799726;1;1
29.158069549834423;0;1
48.06497263726034;0;1
34.744999055029965;0;1
77.00020195173192;1;1
156.4323790259071;1;1
167.2854729779876;1;1
96.21618367540474;1;0
54.64694391161677;0;1
163.91924481562282;0;1
166.85850823077445;1;1
14.893032247763005;1;1
59.60507491127416;1;1
54.66315269998335;1;1
83.25649714924515;1;0
123.649930838624;1;0
132.82377067239497;1;0
48.767994617618704;1;1
26.187241725093195;1;0
123.13378615363453;1;0
19.19531293596513;1;0
88.86509797097102;1;0
5.476016269807344;1;1
129.81060160166135;1;0
149.59027054804332;1;1
140.5236503501915;1;1
16.50695216886032;1;1
103.04152257532985;0;1
125.09614540580206;1;0
112.10270731533531;1;1
162.32159571632508;1;0
163.00086701136937;1;1
171.88294908476067;0;1
123.55484006320434;1;0
80.63726978931724;1;0
55.9613279198957;1;0
48.267962928472876;1;0
6.265299141073648;1;1
71.40487854052577;0;1
58.77774766055775;1;1
120.29790819001131;1;1
169.48352764289555;0;1
87.79185742612785;1;0
95.5900879650613;1;1
41.828114163665745;1;1
20.991302213721635;0;1
116.68938985863218;1;0
161.1967515053092;1;1
94.91853940699852;0;1
24.135893694547924;1;0
21.747706595563304;1;1
13.046041828108471;1;1
164.348084284996;1;1
81.70413747120982;0;1
55.57360293897697;0;1
170.82968797429479;1;1
102.45435069457827;0;1
138.1946443102514;1;0
41.01727672331089;0;1
3.8244746813822528;0;1
70.17639391490526;1;1
128.9418667645971;0;1
87.56247478908529;0;1
78.94665245328832;1;0
23.17701734587979;1;0
129.93829996353094;0;1
168.48526165003176;0;1
11.550337193513698;1;1
155.3530682064655;1;0
106.11477778541914;1;1
30.177093337283274;1;0
172.45202653944088;1;1
27.29164574515706;0;1
33.81387459195861;0;1
102.1940600697936;1;1
167.66961452679212;1;0
84.39838784638084;0;1
73.51085350100604;1;0
60.32023693922798;0;1
137.04803695176926;1;0
98.24004328770826;1;1
127.41017874025557;1;1
174.19201663778742;0;1
69.14270243418113;0;1
18.37550573961736;1;0
131.0146448842142;1;1
70.74044296277158;1;0
34.121851056124505;1;1
115.69747993862457;1;0
128.41018748694475;1;1
18.879955025416926;1;1
41.87130488740261;0;1
117.1160909292968;0;1
147.92829825230726;0;1
117.01948885907757;1;1
117.42897660426041;1;0
167.8838884178384;0;1
135.86282158919295;1;0
94.23892456723726;0;1
148.38344724821562;1;1
105.60621731358839;1;0
76.18138648095639;0;1
161.8769684068165;0;1
61.98662555928004;0;1
139.88573071454442;1;1
4.0946702049011785;1;0
132.5930490073599;1;0
23.177939503849256;1;1
176.09982529573168;1;1
129.30060869811;1;1
143.361784043447;1;0
109.78180451498773;0;1
83.27005621436126;1;0
22.4208231005431;0;1
145.3246596268175;0;1
142.86431738865846;1;0
41.942929573534656;1;1
8.36349033242995;0;1
24.115568328571474;1;1
103.62679233311415;1;1
122.98580319112563;0;1
69.13415380529862;1;1
149.93742713280903;1;0
66.0559471468779;1;1
15.416029959082769;1;0
171.17213066223488;1;1
22.03222193017111;1;1
125.52348776199686;1;1
31.237391526927464;0;1
176.3212649820913;1;0
118.17888086901661;1;0
110.69589977765546;1;1
53.74179844833824;0;1
25.26096900082368;0;1
20.380904062987792;1;0
144.09075915833967;0;1
71.55770147765908;0;1
68.27208892803473;1;0
86.36826708809043;1;1
109.18740822042486;1;0
113.64544888602926;0;1
142.7006551619935;0;1
169.59457027578605;0;1
150.45568194896424;1;1
22.417606318095345;1;1
47.77978570656116;1;0
16.904507807417925;0;1
57.25006168869299;1;1
111.47767153447137;1;1
33.723962050275226;0;1
8.751456625490654;1;0
160.28058954486423;1;0
44.14730995544989;1;1
120.44123046093202;1;0
81.21083449275605;1;0
10.272927993621634;1;1
121.18028075427968;1;1
175.2808296440478;1;1
78.77557168217571;0;1
59.878426216496464;0;1
28.55067239389641;1;1
66.73111364047838;0;1
93.68457219158792;1;0
137.93491640731088;1;1
159.54890404476313;0;1
37.69039436769133;1;0
33.096265792693224;1;0
109.86510361074266;1;0
7.648216294666121;1;0
44.544208275579656;1;1
55.64868587767267;1;0
99.8199775589365;1;0
116.06511154788562;1;1
28.435308452335466;1;0
169.48010359277632;1;0
18.25704471372854;1;0
152.16148295712506;0;1
92.35565581190252;0;1
157.35231891709623;1;0
172.19642613706108;1;0
131.57582467447475;1;1
78.48452705229825;1;1
1.2441094170190814;1;1
1.713977233254389;0;1
78.56066067415635;1;1
36.66306419445231;1;1
107.99705854012339;0;1
103.25296836992877;0;1
174.57853448081983;1;1
72.27830111213028;1;0
86.07039698176473;1;1
17.362743951190247;1;0
145.8386685753191;1;1
155.56258774881454;1;0
87.84755161265372;1;0
167.6316111008295;1;1
145.48969007681865;1;0
8.864215146323133;1;0
12.38876640498014;1;0
29.588477343703556;0;1
144.44692864050043;0;1
141.7956270493891;0;1
2.7346410067269433;1;0
166.09845232049454;1;1
81.96033898312545;0;1
90.90719702171612;1;1
28.75087821502458;0;1
12.424999538849226;0;1
0.9109595807480475;1;0
23.005994162534545;1;0
163.21021576087992;1;0
113.94313232041593;1;1
122.47252284534731;0;1
168.76150831218095;0;1
103.02406266331519;0;1
94.90220672342672;0;1
68.45782379658094;0;1
14.651165739060733;0;1
176.62815809848135;1;0
33.054503347250154;0;1
110.48832420383727;0;1
103.68177092779939;1;0
98.34829418444795;1;1
127.76336780553717;1;0
174.37217590884418;0;1
108.57100541008636;1;1
37.35699129647932;1;0
175.9339321393202;1;1
21.49498678377356;0;1
83.32171108864158;1;0
175.52866801869393;1;1
11.044266070229497;1;0
155.1363814023122;0;1
43.62662024721028;0;1
32.295247793215864;1;0
98.62252907518011;1;1
136.58744671638044;0;1
176.7929281935105;1;0
137.85566405937595;1;0
125.08959461205555;1;1
